date,block,beds,psf,area,price
2016-08-01,12,1,1488,420,625000
2016-08-01,12,2,1411,807,1139000
2016-08-01,12,1,1524,420,640000
2016-08-01,2,3,1033,1442,1490000
2016-08-01,12,2,1426,807,1151000
2016-08-01,12,1,1517,420,637000
2016-08-01,8,3,1365,1227,1675000
2016-08-01,12,1,1522,538,819000
2016-07-01,12,1,1510,420,634000
2016-07-01,12,1,1510,420,634000
2016-07-01,12,1,1481,420,622000
2016-07-01,12,1,1524,420,640000
2016-07-01,12,1,1524,420,640000
2016-07-01,4,3,1397,1109,1549000
2016-07-01,12,1,1169,592,692000
2016-07-01,4,3,1370,1109,1519000
2016-07-01,12,1,1552,420,652000
2016-07-01,8,4,1288,1507,1941000
2016-07-01,12,1,1478,538,795000
2016-07-01,12,1,1481,420,622000
2016-07-01,2,3,1355,1152,1561000
2016-07-01,12,2,1095,807,884000
2016-07-01,12,1,1545,420,649000
2016-07-01,2,3,1374,1151,1581000
2016-07-01,12,1,1511,538,813000
2016-07-01,8,3,1385,1227,1700000
2016-07-01,12,1,1517,420,637000
2016-07-01,12,1,1502,420,631000
2016-07-01,12,1,1455,538,783000
2016-07-01,12,2,1401,807,1131000
2016-07-01,12,2,1411,807,1139000
2016-07-01,12,2,1431,807,1155000
2016-07-01,12,1,1040,850,884000
2016-07-01,12,1,1517,538,816000
2016-06-01,2,3,1403,937,1315000
2016-06-01,12,1,1524,420,640000
2016-06-01,12,1,1500,538,807000
2016-06-01,12,1,1550,527,817000
2016-06-01,12,1,1040,850,884000
2016-06-01,12,1,1522,538,819000
2016-06-01,12,1,1474,420,619000
2016-06-01,4,3,1379,1109,1529000
2016-06-01,12,2,1406,807,1135000
2016-06-01,12,1,1522,538,819000
2016-06-01,12,1,1474,420,619000
2016-06-01,12,1,1500,420,630000
2016-06-01,8,3,1348,1184,1596000
2016-06-01,12,1,1560,420,655000
2016-06-01,12,2,1421,807,1147000
2016-06-01,12,1,1511,538,813000
2016-06-01,12,1,1560,420,655000
2016-06-01,2,3,1371,937,1285000
2016-06-01,12,2,1454,808,1175000
2016-06-01,12,1,1488,420,625000
2016-06-01,12,1,1517,420,637000
2016-05-01,8,4,1304,1507,1965000
2016-05-01,2,3,1004,1410,1416000
2016-05-01,12,1,1502,420,631000
2016-05-01,12,2,1441,807,1163000
2016-05-01,12,1,1500,538,807000
2016-05-01,12,2,1451,807,1171000
2016-05-01,6,3,1394,1184,1651000
2016-05-01,12,1,1531,420,643000
2016-05-01,12,1,1517,420,637000
2016-05-01,6,3,1381,1206,1665000
2016-05-01,12,2,1095,807,884000
2016-05-01,12,1,1517,420,637000
2016-05-01,12,1,1495,420,628000
2016-05-01,12,1,1538,420,646000
2016-05-01,12,2,1436,807,1159000
2016-05-01,12,2,1459,808,1179000
2016-05-01,4,3,1366,1108,1514000
2016-05-01,2,3,1387,937,1300000
2016-05-01,12,1,1517,420,637000
2016-05-01,2,3,1335,936,1250000
2016-05-01,10,2,1414,839,1186000
2016-05-01,10,3,1029,1259,1296000
2016-05-01,12,1,1474,420,619000
2016-05-01,4,3,1412,1108,1564000
2016-05-01,12,1,1510,420,634000
2016-05-01,2,3,1420,969,1376000
2016-05-01,6,2,1349,1205,1625000
2016-05-01,12,2,1428,754,1077000
2016-05-01,2,3,1384,936,1295000
2016-05-01,12,2,1404,753,1057000
2016-05-01,12,1,1507,420,633000
2016-05-01,12,1,1510,420,634000
2016-05-01,12,2,1444,754,1089000
2016-05-01,6,4,1356,1464,1985000
2016-05-01,6,4,1313,1507,1979000
2016-05-01,12,2,1018,1249,1271000
2016-05-01,8,4,1309,1464,1916000
2016-04-01,12,1,1481,420,622000
2016-04-01,2,3,1396,968,1351000
2016-04-01,12,2,1459,808,1179000
2016-04-01,2,3,1405,969,1361000
2016-04-01,4,3,1394,1108,1544000
2016-04-01,12,1,1514,420,636000
2016-04-01,12,1,1536,420,645000
2016-04-01,12,1,1550,527,817000
2016-04-01,12,1,1567,527,826000
2016-04-01,12,1,1567,527,826000
2016-04-01,2,3,1321,1151,1521000
2016-04-01,2,3,1334,1151,1536000
2016-04-01,10,2,1390,839,1166000
2016-04-01,12,1,1488,420,625000
2016-04-01,4,3,1375,1108,1524000
2016-04-01,2,3,1345,937,1260000
2016-04-01,4,2,1490,829,1235000
2016-04-01,12,1,1474,420,619000
2016-04-01,12,1,1502,420,631000
2016-04-01,4,2,1480,829,1227000
2016-04-01,12,1,1461,538,786000
2016-04-01,12,1,1524,420,640000
2016-04-01,10,3,1340,840,1126000
2016-04-01,12,1,1542,528,814000
2016-04-01,10,3,1358,840,1141000
2016-04-01,10,3,1364,840,1146000
2016-04-01,12,2,1441,807,1163000
2016-04-01,12,1,1529,420,642000
2016-04-01,10,2,1434,839,1203000
2016-04-01,12,1,1542,528,814000
2016-04-01,4,3,1406,1109,1559000
2016-04-01,12,2,1436,753,1081000
2016-04-01,12,1,1169,592,692000
2016-04-01,2,3,1394,936,1305000
2016-04-01,4,3,1357,1108,1504000
2016-04-01,12,1,1510,420,634000
2016-04-01,12,1,1545,420,649000
2016-03-01,4,3,1375,1108,1524000
2016-03-01,2,3,1356,1184,1606000
2016-03-01,2,3,1342,1152,1546000
2016-03-01,12,2,1398,753,1053000
2016-03-01,12,2,1420,753,1069000
2016-03-01,12,2,1407,754,1061000
2016-03-01,12,1,1488,420,625000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1489,538,801000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1510,420,634000
